n_samples,n_genes,snps_per_gene,snr,causal_prop,main_interaction_ratio,ensemble_size,num_subset_samples,selected_l1_lambda,auroc,ap,generation_seconds,cv_seconds,training_seconds,interaction_scoring_seconds,total_seconds,generation_peak_ram_mb,cv_peak_ram_mb,training_peak_ram_mb,scoring_peak_ram_mb,training_peak_gpu_allocated_mb,training_peak_gpu_reserved_mb,scoring_peak_gpu_allocated_mb
5000,10,20,0.1,0.5,1.0,5,100,1e-05,0.5769230769230769,0.43460466736328807,0.0503783999999996,121.2375333,54.07750039999999,58.60582059999999,233.97123269999997,233.6640625,334.2265625,339.078125,341.90625,,,
10000,10,20,0.1,0.5,1.0,5,100,1e-05,0.5555555555555556,0.22500581855420562,0.06199970000000121,254.12368580000003,121.71510160000003,110.78235010000003,486.6831372000001,327.140625,362.20703125,363.75,377.82421875,,,
20000,10,20,0.1,0.5,1.0,5,100,1e-06,0.547008547008547,0.32698412698412693,0.12141630000007808,363.3828507999999,221.01240430000007,300.59210570000005,885.1087771000001,414.0,399.3828125,398.625,438.47265625,,,
40000,10,20,0.1,0.5,1.0,5,100,1e-05,0.6495726495726496,0.24275526264017314,0.2659969999999703,646.9061212999998,307.24136610000005,613.9470234999999,1568.3605078999997,446.58984375,495.25390625,388.05859375,471.21875,,,
