permutation,seed,wall_time_seconds,start_ram_mb,end_ram_mb,peak_ram_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
1,1042,145.85302939999997,434.85546875,446.90234375,462.1640625,,
2,1043,161.71609990000002,447.21484375,447.17578125,462.4375,,
3,1044,151.8541639,447.15625,447.171875,462.05859375,,
4,1045,153.5188134,447.15234375,447.6015625,462.8671875,,
5,1046,142.00958830000013,447.58203125,447.6015625,462.8671875,,
6,1047,126.60681410000007,447.58203125,447.6484375,462.9140625,,
7,1048,121.68426879999993,447.62890625,447.59375,450.3828125,,
8,1049,128.47380650000014,447.57421875,447.6484375,455.28125,,
9,1050,138.81615420000026,447.62890625,447.58984375,462.859375,,
10,1051,127.76965770000015,447.5703125,447.58984375,462.859375,,
11,1052,129.5272175,447.5703125,447.6484375,462.9140625,,
12,1053,134.5703913999996,447.62890625,447.65234375,458.671875,,
13,1054,145.14495829999987,447.6328125,447.58984375,452.07421875,,
14,1055,134.41622129999996,447.5703125,447.65234375,460.33203125,,
15,1056,134.81753459999982,447.6328125,447.62890625,462.91796875,,
16,1057,131.56780610000033,447.62890625,447.58984375,462.51953125,,
17,1058,131.01753259999987,447.5703125,447.6484375,462.9140625,,
18,1059,143.57421209999984,447.62890625,447.65234375,462.91796875,,
19,1060,133.47759580000002,447.6328125,447.6484375,459.3671875,,
20,1061,120.05817720000005,447.62890625,447.58984375,459.8828125,,
21,1062,136.62920480000002,447.5703125,447.59375,462.85546875,,
22,1063,129.7802001,447.57421875,447.6484375,462.9140625,,
23,1064,125.65493550000019,447.62890625,447.59375,450.8515625,,
24,1065,132.07332789999964,447.57421875,447.578125,462.85546875,,
25,1066,140.57014380000055,447.55859375,447.6328125,462.90234375,,
26,1067,129.96072769999955,447.61328125,447.6328125,458.42578125,,
27,1068,112.6720533000007,447.61328125,447.58203125,462.84765625,,
28,1069,116.62401670000054,447.5625,447.5234375,462.515625,,
29,1070,136.18445989999964,447.50390625,447.53125,462.796875,,
30,1071,150.1908381000003,447.51171875,447.515625,462.78125,,
31,1072,136.13813869999922,447.49609375,422.00390625,450.75390625,,
32,1073,139.76527050000004,421.984375,422.03515625,424.23828125,,
33,1074,142.44145020000087,422.015625,407.41796875,434.40625,,
34,1075,142.02554650000002,407.3984375,407.34765625,416.14453125,,
35,1076,147.43937970000025,407.328125,407.328125,422.61328125,,
36,1077,137.98862740000004,407.328125,407.40234375,422.66796875,,
37,1078,137.34151209999982,407.3828125,407.40625,421.00390625,,
38,1079,150.02059260000078,407.38671875,407.40234375,422.66796875,,
39,1080,141.19368810000014,407.3828125,407.40234375,422.66796875,,
40,1081,138.00911610000003,407.3828125,407.34375,422.671875,,
41,1082,138.85404629999994,407.32421875,407.40234375,422.671875,,
42,1083,159.3991541000005,407.3828125,407.40625,416.34375,,
43,1084,148.4723795,407.38671875,407.39453125,416.17578125,,
44,1085,147.3023546000004,407.375,384.17578125,409.5703125,,
45,1086,144.5097186999992,384.15625,384.1796875,395.94140625,,
46,1087,140.56011020000005,384.16015625,377.62890625,386.35546875,,
47,1088,142.6701909000003,377.609375,377.61328125,387.76171875,,
48,1089,147.3304291000004,377.59375,377.6171875,382.1015625,,
49,1090,141.84627209999962,377.59765625,377.61328125,392.8828125,,
50,1091,139.2893555999999,377.59375,377.6875,392.953125,,
51,1092,144.15670260000024,377.66796875,377.6171875,392.87890625,,
52,1093,136.82158849999996,377.59765625,377.6328125,392.89453125,,
53,1094,147.4212725999996,377.61328125,377.671875,381.234375,,
54,1095,140.5018823999999,377.65234375,377.61328125,387.0625,,
55,1096,144.3250911999985,377.59375,377.671875,392.9375,,
56,1097,140.77704110000013,377.65234375,377.66796875,392.859375,,
57,1098,148.33896389999973,377.6484375,377.671875,392.25390625,,
58,1099,144.84667329999866,377.65234375,377.671875,389.3515625,,
59,1100,136.77419960000043,377.65234375,377.61328125,391.4765625,,
60,1101,147.2324195000001,377.59375,377.69921875,390.01171875,,
61,1102,142.60418509999909,377.6796875,377.64453125,392.90625,,
62,1103,141.38220710000132,377.625,377.69921875,379.875,,
63,1104,138.4851234000016,377.6796875,377.69921875,392.96484375,,
64,1105,138.11929860000055,377.6796875,377.69921875,387.8046875,,
65,1106,138.6373863000008,377.6796875,377.69921875,392.96875,,
66,1107,139.21282969999993,377.6796875,377.703125,393.02734375,,
67,1108,143.5498406000006,377.68359375,377.640625,381.4921875,,
68,1109,140.2140899999995,377.62109375,377.640625,392.91015625,,
69,1110,147.47526930000095,377.62109375,377.64453125,392.90625,,
70,1111,133.7216301999997,377.625,377.70703125,392.97265625,,
71,1112,135.07296779999888,377.6875,377.64453125,385.28125,,
72,1113,140.7905111,377.625,377.64453125,392.91015625,,
73,1114,144.0243043999999,377.625,377.64453125,392.9140625,,
74,1115,140.1009398999995,377.625,377.69140625,389.54296875,,
75,1116,137.2084760000016,377.671875,377.69140625,386.1171875,,
76,1117,137.39515539999957,377.671875,377.75,393.015625,,
77,1118,142.2708806999999,377.73046875,377.72265625,388.52734375,,
78,1119,137.44238679999944,377.703125,377.78125,388.87890625,,
79,1120,141.73568259999956,377.76171875,377.7265625,392.9921875,,
80,1121,143.25320830000055,377.70703125,377.72265625,392.9921875,,
81,1122,133.6038595000009,377.703125,377.72265625,388.50390625,,
82,1123,142.90187360000164,377.703125,377.72265625,392.98828125,,
83,1124,135.63194599999952,377.703125,377.72265625,385.4140625,,
84,1125,127.46900840000126,377.703125,377.7265625,384.46875,,
85,1126,135.81459880000148,377.70703125,377.72265625,392.98828125,,
86,1127,131.2563639,377.703125,377.78125,391.96875,,
87,1128,134.54851580000104,377.76171875,377.8515625,392.14453125,,
88,1129,134.25674160000017,377.83203125,377.84765625,393.1171875,,
89,1130,137.0881530000006,377.828125,377.91015625,393.015625,,
90,1131,138.5823402999995,377.890625,377.859375,393.125,,
91,1132,131.06288940000013,377.83984375,377.859375,393.12890625,,
92,1133,137.87057470000036,377.83984375,377.921875,388.77734375,,
93,1134,134.15908579999996,377.90234375,377.859375,393.125,,
94,1135,134.10413270000026,377.83984375,377.859375,393.125,,
95,1136,135.79987599999913,377.83984375,377.83984375,392.75390625,,
96,1137,140.03016729999945,377.83984375,377.859375,393.12890625,,
97,1138,136.84283230000074,377.83984375,377.94140625,393.1875,,
98,1139,134.5745941999994,377.921875,377.9296875,387.7890625,,
99,1140,140.19877839999936,377.91015625,377.8671875,385.80078125,,
100,1141,129.02974170000016,377.84765625,377.8828125,391.94140625,,
