gene_i,gene_j,pair,is_true_interaction,observed_score,null_mean,null_std,null_max,raw_pvalue,bh_adjusted_pvalue,significant_raw_0.05,significant_bh_0.05
5,6,"(5, 6)",True,0.9551811590790749,0.13486726880073546,0.05418452804232484,0.354020357131958,0.009900990099009901,0.22277227722772278,True,False
5,8,"(5, 8)",False,0.23089028000831605,0.0799919094145298,0.028971361108064368,0.16634953022003174,0.009900990099009901,0.22277227722772278,True,False
4,5,"(4, 5)",False,0.19536999017000198,0.08586588187143207,0.035485369644335664,0.20130300521850586,0.019801980198019802,0.22277227722772278,True,False
5,7,"(5, 7)",False,0.16142926886677741,0.07333945421501994,0.028333553190917907,0.19195133447647095,0.019801980198019802,0.22277227722772278,True,False
2,5,"(2, 5)",False,0.1948273167014122,0.10482586359605194,0.03809699663628773,0.22729672491550446,0.0297029702970297,0.2545968882602546,True,False
7,9,"(7, 9)",True,0.2753290146589279,0.16015791185200215,0.04586778288201295,0.3453581631183624,0.039603960396039604,0.2545968882602546,True,False
0,5,"(0, 5)",False,0.26004414558410643,0.11878878174349666,0.04968719806879243,0.33082857728004456,0.039603960396039604,0.2545968882602546,True,False
3,5,"(3, 5)",False,0.1301363192498684,0.07601433741860092,0.029058102630122404,0.17298783361911774,0.0594059405940594,0.3341584158415841,False,False
5,9,"(5, 9)",False,0.20451963394880296,0.11606879187747836,0.05020395028834526,0.32378965616226196,0.06930693069306931,0.34653465346534656,False,False
6,8,"(6, 8)",True,0.2691251069307327,0.19887197971343995,0.04518403961026678,0.3157467842102051,0.07920792079207921,0.3564356435643564,False,False
0,9,"(0, 9)",False,0.31672119796276094,0.24572547569870948,0.06668946629684777,0.4622739553451538,0.1485148514851485,0.6075607560756076,False,False
0,7,"(0, 7)",False,0.18760949075222016,0.15866185501217842,0.04321466104498625,0.309267520904541,0.24752475247524752,0.9282178217821783,False,False
1,5,"(1, 5)",False,0.075541415438056,0.0655948022659868,0.026596334516080428,0.15924352407455444,0.27722772277227725,0.9379885356956749,False,False
0,6,"(0, 6)",False,0.3174026370048523,0.28754196897149087,0.07627445303614297,0.5243225693702698,0.31683168316831684,0.9379885356956749,False,False
0,8,"(0, 8)",False,0.19318280518054962,0.17342678248882293,0.051502158497212576,0.3409365117549896,0.3465346534653465,0.9379885356956749,False,False
