gene_i,gene_j,pair,is_true_interaction,observed_score,null_mean,null_std,null_max,raw_pvalue,bh_adjusted_pvalue,significant_raw_0.05,significant_bh_0.05
6,9,"(6, 9)",False,0.058468902856111525,0.02962986421189271,0.023825698301666906,0.10883297771215439,0.09523809523809523,0.5555555555555556,False,False
8,9,"(8, 9)",False,0.0348909642547369,0.011757277080323546,0.008561568663032166,0.03550765011459589,0.09523809523809523,0.5555555555555556,False,False
3,9,"(3, 9)",False,0.017689302656799556,0.00832348308467772,0.007255706467919255,0.03497548680752516,0.09523809523809523,0.5555555555555556,False,False
6,8,"(6, 8)",True,0.036368362978100775,0.017718119636992925,0.012974711587361219,0.051343560218811035,0.14285714285714285,0.5555555555555556,False,False
2,9,"(2, 9)",False,0.023286217637360097,0.012737037375336513,0.011502487427575904,0.05244029685854912,0.14285714285714285,0.5555555555555556,False,False
2,8,"(2, 8)",False,0.01605435647070408,0.007494294780190103,0.005304272888805137,0.02047062199562788,0.14285714285714285,0.5555555555555556,False,False
3,8,"(3, 8)",False,0.011419841740280389,0.005385394403128884,0.003997536931162901,0.017419349402189255,0.14285714285714285,0.5555555555555556,False,False
2,6,"(2, 6)",False,0.03233750648796559,0.01898327778035309,0.015003427023787938,0.0634327083826065,0.19047619047619047,0.5555555555555556,False,False
3,6,"(3, 6)",False,0.019488187693059444,0.012846088770311325,0.011722057778893315,0.05597366578876972,0.19047619047619047,0.5555555555555556,False,False
7,8,"(7, 8)",False,0.01084210379049182,0.006557066587265581,0.003848679529569443,0.018164601176977158,0.19047619047619047,0.5555555555555556,False,False
2,3,"(2, 3)",False,0.010407730983570219,0.006020427343901247,0.004353220547477943,0.020017315167933702,0.19047619047619047,0.5555555555555556,False,False
1,8,"(1, 8)",False,0.009739639516919852,0.006790573571925052,0.0046656391118834566,0.01860328996554017,0.19047619047619047,0.5555555555555556,False,False
7,9,"(7, 9)",True,0.01794551806524396,0.009531209396664053,0.006086218747501446,0.021903767250478268,0.23809523809523808,0.5555555555555556,False,False
5,8,"(5, 8)",False,0.010370796080678701,0.0074572315439581875,0.005470644672507167,0.02433358016423881,0.23809523809523808,0.5555555555555556,False,False
4,8,"(4, 8)",False,0.009228468034416437,0.006193028157576918,0.00361530017195248,0.015537645667791367,0.23809523809523808,0.5555555555555556,False,False
2,5,"(2, 5)",False,0.008905029250308871,0.0082017083739629,0.008433209849718015,0.03324021212756634,0.23809523809523808,0.5555555555555556,False,False
0,2,"(0, 2)",False,0.006587432837113738,0.0052118855965090916,0.002950214405752292,0.012582581955939531,0.23809523809523808,0.5555555555555556,False,False
3,7,"(3, 7)",True,0.00627239840105176,0.0046244718541856855,0.002387074555527829,0.010590702528133988,0.23809523809523808,0.5555555555555556,False,False
6,7,"(6, 7)",False,0.022054039500653745,0.014392493425111752,0.008178458334301917,0.03172133304178715,0.2857142857142857,0.5555555555555556,False,False
4,9,"(4, 9)",False,0.011966944392770528,0.009621023098588921,0.007025479141593154,0.025208967737853527,0.2857142857142857,0.5555555555555556,False,False
2,7,"(2, 7)",False,0.00840673130005598,0.007703308598138392,0.005582071695034127,0.024846054147928953,0.2857142857142857,0.5555555555555556,False,False
1,3,"(1, 3)",False,0.007526643015444279,0.00524341277196072,0.0037378013518070295,0.015913268085569143,0.2857142857142857,0.5555555555555556,False,False
0,8,"(0, 8)",False,0.006991727743297815,0.00544682884356007,0.0026283557686364763,0.011160002090036869,0.2857142857142857,0.5555555555555556,False,False
1,9,"(1, 9)",False,0.017055378016084432,0.012386486568721012,0.010659897199525432,0.04310140013694763,0.3333333333333333,0.5555555555555556,False,False
5,9,"(5, 9)",False,0.011575760785490274,0.01033153269381728,0.007388069263168075,0.02962866984307766,0.3333333333333333,0.5555555555555556,False,False
1,2,"(1, 2)",False,0.010191948572173714,0.007667520217364654,0.005395174927657775,0.021815600339323282,0.3333333333333333,0.5555555555555556,False,False
3,5,"(3, 5)",False,0.005110885621979833,0.005132816884724889,0.003978162324959307,0.018103509675711393,0.3333333333333333,0.5555555555555556,False,False
5,6,"(5, 6)",True,0.016861646436154842,0.016726477825432084,0.012959013592346424,0.05446145357564092,0.38095238095238093,0.5672268907563025,False,False
2,4,"(2, 4)",True,0.006741468422114849,0.006758975208504126,0.006561623593221649,0.031648251693695784,0.38095238095238093,0.5672268907563025,False,False
3,4,"(3, 4)",False,0.004687738185748458,0.004147320706397295,0.0024657207644831975,0.0103715097066015,0.38095238095238093,0.5672268907563025,False,False
1,6,"(1, 6)",False,0.01892127739265561,0.016346635014633647,0.011255108846908826,0.04291940573602915,0.42857142857142855,0.5672268907563025,False,False
4,6,"(4, 6)",False,0.013983670435845853,0.01399920464027673,0.009509707954892699,0.04272509925067425,0.42857142857142855,0.5672268907563025,False,False
0,9,"(0, 9)",False,0.007034492818638683,0.007828676153440028,0.004376240387731665,0.016978734638541937,0.42857142857142855,0.5672268907563025,False,False
4,7,"(4, 7)",False,0.004767847899347544,0.005607758527912665,0.004458061768218096,0.020909336861222982,0.42857142857142855,0.5672268907563025,False,False
1,7,"(1, 7)",False,0.006127806240692734,0.0063710578877362424,0.0039124235963616675,0.015138531336560845,0.47619047619047616,0.5791505791505791,False,False
5,7,"(5, 7)",False,0.004947084095329046,0.006320287210110109,0.004510175216540936,0.020945289870724082,0.47619047619047616,0.5791505791505791,False,False
1,4,"(1, 4)",False,0.004568781470879912,0.0064423846284626055,0.004349178029381436,0.017077190335839987,0.47619047619047616,0.5791505791505791,False,False
1,5,"(1, 5)",False,0.004800129029899835,0.006641970103373751,0.004645400162371251,0.018045612727291882,0.5238095238095238,0.6043956043956045,False,False
0,3,"(0, 3)",False,0.0033460007049143313,0.003906428882328328,0.002084394322974802,0.010160792618989944,0.5238095238095238,0.6043956043956045,False,False
4,5,"(4, 5)",False,0.004010189464315772,0.005244164157193154,0.0029024771401243415,0.011796026956290007,0.5714285714285714,0.627177700348432,False,False
0,4,"(0, 4)",False,0.003542689047753811,0.004388833047414664,0.002124601050422603,0.009907346684485674,0.5714285714285714,0.627177700348432,False,False
0,6,"(0, 6)",False,0.010193692892789841,0.011966312171716708,0.006813234569534193,0.029194491915404797,0.6666666666666666,0.6976744186046512,False,False
0,1,"(0, 1)",True,0.0035246384097263215,0.004962468802114017,0.0023314999148630186,0.00960399495670572,0.6666666666666666,0.6976744186046512,False,False
0,5,"(0, 5)",False,0.0033399376552551985,0.004749709903262555,0.0022732565500329692,0.009667253587394953,0.7142857142857143,0.7305194805194806,False,False
0,7,"(0, 7)",False,0.003487309650518,0.005133515520719811,0.0024980714999054314,0.011259303893893957,0.7619047619047619,0.7619047619047619,False,False
